rho_A,sigma,seed,R2_ridge,R2_mlp,R2_gap,Rhat_ridge,Rhat_mlp,Rhat_gap,drop_S_ridge,drop_E_ridge,drop_S_mlp,drop_E_mlp
0.7,0.1,2.0,0.804287314414978,0.4599203467369079,-0.34436696767807,0.1770273485818017,0.0822288395676339,-0.0947985090141677,0.3179678618907928,1.4781832098960876,0.0922810832659403,1.0299660960833232
0.7,0.2,0.0,0.6929644346237183,0.3908380270004272,-0.302126407623291,0.1876783107297188,0.0881127077407071,-0.0995656029890117,0.3150424659252167,1.3635876576105754,0.0916165113449096,0.948148508866628
0.7,0.2,1.0,0.6932719349861145,0.3908449113368988,-0.3024270236492157,0.1879985464332763,0.0879453396644707,-0.1000532067688056,0.3159673611323039,1.3647230863571167,0.0914533535639445,0.9484352171421052
0.7,0.2,2.0,0.6934665441513062,0.3928251564502716,-0.3006413877010345,0.1875909315909315,0.0879830273838192,-0.0996079042071123,0.3152970274289449,1.3654719988505046,0.0912063320477803,0.9454291959603628
0.7,0.35,0.0,0.4537169337272644,0.2296322435140609,-0.2240846902132034,0.2153710632445944,0.1054687888455883,-0.1099022743990061,0.3079644044240315,1.1219603021939597,0.0894496887922287,0.7586655666430792
0.7,0.35,1.0,0.4537617266178131,0.2349514663219452,-0.2188102602958679,0.2158101321825297,0.1067784225400614,-0.1090317096424683,0.3089225937922795,1.1225328743457794,0.0908762166897455,0.7601966361204783
0.7,0.35,2.0,0.4546776115894317,0.2391296327114105,-0.2155479788780212,0.2154316950342845,0.1059947637348353,-0.1094369312994491,0.3086310227711995,1.12398557861646,0.0901466757059097,0.7603356738885244
0.9,0.0,0.0,0.830234944820404,0.4332132637500763,-0.3970216810703277,0.2677102959938231,0.1435521084960197,-0.1241581874978034,0.4878670771916707,1.3345024188359578,0.1528849303722381,0.9121285478274028
0.9,0.0,1.0,0.8305453062057495,0.4319506287574768,-0.3985946774482727,0.2677048479015044,0.1438629013646868,-0.1238419465368175,0.487899233897527,1.3346274693806963,0.1530036230882009,0.9105341037114462
0.9,0.0,2.0,0.8304814100265503,0.4378196597099304,-0.3926617503166199,0.2672361951957421,0.1435516730544214,-0.1236845221413206,0.487310250600179,1.3362086415290833,0.1525822778542836,0.9103261133035024
0.9,0.05,0.0,0.8203127384185791,0.4266592562198639,-0.3936534821987152,0.2688722353229318,0.1440684567696263,-0.1248037785533054,0.487196534872055,1.324803630510966,0.1524361570676168,0.9056452612082164
